icp_time,method,sampling,epsilon,rmse_list
0.012275934219360352,kd,uni,0.0001,"[0.011691670244342919, 0.0064158401037056716, 0.0063987312154613445]"
0.042996883392333984,kd,uni,1e-05,"[0.01122872280763477, 0.006185990140780097, 0.006347558679829323, 0.006787263990534443, 0.007732182739371607, 0.00995353274081658, 0.013579191823835683, 0.013839336812290826, 0.010147357365689294, 0.006243854949174292, 0.0037602383529412426, 0.00422246814764843, 0.005621160543541563, 0.006183500888167943, 0.006402472523619329]"
0.052005767822265625,kd,uni,1e-06,"[0.011729529067194377, 0.00674872852004244, 0.007069637455668829, 0.008429106090375947, 0.011455606351672587, 0.01354969121007535, 0.020899347970123862, 0.029728097692259377, 0.012981047232435025, 0.009093288516409668, 0.006023218773281488, 0.005920725539181203, 0.008909685463675973, 0.011959750740015705, 0.012929081788445944]"
0.12740206718444824,kd,rand,0.0001,"[0.012509053736630669, 0.006290632813244664, 0.0065069278546114615, 0.0068502958347815305, 0.008319198933030266, 0.01248381188347137, 0.01785383490412702, 0.012389325672431622, 0.012738702442609133, 0.009856929176869481, 0.006407870132962702, 0.006502791838958654]"
0.13642215728759766,kd,rand,1e-05,"[0.012148397646910116, 0.006398675823677785, 0.007061966500304733, 0.008080472383860242, 0.011057104972682391, 0.017379442825540957, 0.020585194694054752, 0.015816161496785525, 0.009292765866624034, 0.005628937546035942, 0.007185862821788587, 0.010422965864061176, 0.014764645220873507, 0.01642098924375517, 0.017382945829283774]"
0.14270591735839844,kd,rand,1e-06,"[0.012013999643290934, 0.006590545795478781, 0.0065166219001895, 0.007256898376944167, 0.008712332549861453, 0.012942445228007953, 0.01877156271246526, 0.01632194832472431, 0.013984183918916239, 0.009608979308362225, 0.007331346510970757, 0.005177217409066438, 0.008986155345219913, 0.012701666045426205, 0.014532935562716303]"
0.09498715400695801,kd,multires,0.0001,"[0.010392866791617205, 0.006317327267913589, 0.006916667163144966, 0.009085497871717451, 0.010529686691547203, 0.013747360335575987, 0.02382729629110004, 0.022927031004446694, 0.011456486917953595, 0.011226302485542327, 0.010048933186352436, 0.008918816906656095, 0.009693597436255969, 0.014606758605790256, 0.016127274729532994]"
0.0977182388305664,kd,multires,1e-05,"[0.010577750169079097, 0.006301006819499187, 0.00680801793890046, 0.008748779197407314, 0.011257568878049667, 0.01233602812897026, 0.01618682293764758, 0.03129535968854743, 0.043239668064903904, 0.025875150370645462, 0.011938241880102835, 0.014840445934062007, 0.03420823817372134, 0.0605161706156061, 0.020505728359775998]"
0.10435009002685547,kd,multires,1e-06,"[0.010568709475920052, 0.0061769173564784775, 0.006718921792594868, 0.009761443777698765, 0.01197118248266262, 0.014190395079417738, 0.014664616873737431, 0.01702253252282434, 0.013101080041608782, 0.011102268751516481, 0.011799522863461254, 0.010528588572608898, 0.009510691596046564, 0.010410994540789406, 0.00954327936509044]"
0.19964814186096191,kd,grad,0.0001,"[0.012880717054927783, 0.007016218193707347, 0.006474203515395712, 0.0065046604258741335]"
0.8071780204772949,kd,grad,1e-05,"[0.012880717054927783, 0.007016218193707347, 0.006474203515395712, 0.0065046604258741335, 0.007509440681827619, 0.009552023442015216, 0.010757981294505578, 0.01446222870730566, 0.01515013402916124, 0.012301931315122347, 0.010184198034102858, 0.00793048335269066, 0.005062831303785668, 0.004624441315104485, 0.006115374729422062]"
0.9179749488830566,kd,grad,1e-06,"[0.012880717054927783, 0.007016218193707347, 0.006474203515395712, 0.0065046604258741335, 0.007509440681827619, 0.009552023442015216, 0.010757981294505578, 0.01446222870730566, 0.01515013402916124, 0.012301931315122347, 0.010184198034102858, 0.00793048335269066, 0.005062831303785668, 0.004624441315104485, 0.006115374729422062]"
0.08208608627319336,kd,uni,0.0001,"[0.011434567834086036, 0.007036361003554934, 0.006307334135959388, 0.007121620670055176, 0.007969888416439587, 0.011250565365468842, 0.018528989954175103, 0.02483678921773433, 0.023323800921117462, 0.011688875439928132, 0.009785046611721025, 0.007939013385917147, 0.010653282897230863, 0.01775680751182278, 0.023812515192369092]"
0.07956290245056152,kd,uni,1e-05,"[0.011443287555592055, 0.006985800452410835, 0.006613030982727474, 0.007659011534588703, 0.009598377122153365, 0.012227558010132315, 0.01773661244532464, 0.017061813046814808, 0.009019400189730029, 0.006227120680317377, 0.00434297158970824, 0.004190248192924237, 0.005400532378563073, 0.006581748164038842, 0.006836038976051615]"
0.09404587745666504,kd,uni,1e-06,"[0.01240869098349569, 0.006515008080587841, 0.007223438029633132, 0.009900749652400152, 0.012738465834860869, 0.020887933565151052, 0.03350723404440404, 0.02381973172308433, 0.010553034961927435, 0.009819932641893788, 0.009250749811215387, 0.012412882281728911, 0.01732361763010969, 0.020068011346476226, 0.030111360504981952]"
1.126654863357544,kd,rand,0.0001,"[0.011991781924363731, 0.006492036129560442, 0.006675834779898635, 0.007495384906541339, 0.009701466712277167, 0.01190101487503845, 0.017411608056999397, 0.020998069678687385, 0.008987044757880267, 0.007825623579700307, 0.004979197206374916, 0.006927411254429395, 0.01102406019744913, 0.010847321196553161, 0.01149100368826488]"
0.2064828872680664,kd,rand,1e-05,"[0.011923576817827825, 0.006079295520278506, 0.0067178066269314015, 0.006898853953765118, 0.008938508592479065, 0.012740351457910864, 0.018654576311019418, 0.017726380280610295, 0.011942758188964647, 0.00899310189193616, 0.005969325642957715, 0.006184577594384882, 0.009847236535818473, 0.013029377761470801, 0.014156457625970006]"
0.1599431037902832,kd,rand,1e-06,"[0.01141363557247878, 0.007052940316032396, 0.006802953387379505, 0.007571452448303714, 0.010823985505078662, 0.013740237081814216, 0.018892740588749686, 0.020811944405794123, 0.015765334782970784, 0.008256502800708481, 0.004413079149627319, 0.007274829762478139, 0.011442396929138279, 0.013736302005461535, 0.013986033139249211]"
0.1045370101928711,kd,multires,0.0001,"[0.010593044147989126, 0.0064237560341580706, 0.006904414174071044, 0.009038481885188687, 0.010949936340021626, 0.014382706677174395, 0.012517047452676278, 0.00937806858316542, 0.007174901847613764, 0.006678582314218037, 0.007657865100783129, 0.008149774651240645, 0.00829654165096052, 0.007908293016126531, 0.00788911531466115]"
0.09120607376098633,kd,multires,1e-05,"[0.010715023499245364, 0.006212820991400998, 0.006510809599194897, 0.008761739364150164, 0.010440511438142322, 0.011247843864280588, 0.01083108197213351, 0.008998528966633635, 0.0070552174466649254, 0.005987918697569253, 0.006258572410866807, 0.005863361307690931, 0.006419043436617204, 0.006696496694597082, 0.0067477943304872735]"
0.1057898998260498,kd,multires,1e-06,"[0.010546633846925479, 0.006242212457132364, 0.006853624318107968, 0.009438929990805638, 0.010016248822705786, 0.009942722528972308, 0.00952587037950968, 0.006505487660069285, 0.0055200584607207346, 0.005072586743296216, 0.005287845162606136, 0.005400186048671439, 0.005122418818400952, 0.004880415255507508, 0.004738380118962455]"
0.205125093460083,kd,grad,0.0001,"[0.012880717054927783, 0.007016218193707347, 0.006474203515395712, 0.0065046604258741335]"
0.7452740669250488,kd,grad,1e-05,"[0.012880717054927783, 0.007016218193707347, 0.006474203515395712, 0.0065046604258741335, 0.007509440681827619, 0.009552023442015216, 0.010757981294505578, 0.01446222870730566, 0.01515013402916124, 0.012301931315122347, 0.010184198034102858, 0.00793048335269066, 0.005062831303785668, 0.004624441315104485, 0.006115374729422062]"
0.8157341480255127,kd,grad,1e-06,"[0.012880717054927783, 0.007016218193707347, 0.006474203515395712, 0.0065046604258741335, 0.007509440681827619, 0.009552023442015216, 0.010757981294505578, 0.01446222870730566, 0.01515013402916124, 0.012301931315122347, 0.010184198034102858, 0.00793048335269066, 0.005062831303785668, 0.004624441315104485, 0.006115374729422062]"
0.04659724235534668,kd,uni,0.0001,"[0.012504141101574691, 0.006609685769977049, 0.007196280313729209, 0.00867088570766173, 0.011530786536868244, 0.01726582900100722, 0.022092620582783044, 0.022525052175008452, 0.010451657702526101, 0.0067040088716840045, 0.007399311987804568, 0.013864894651500925, 0.019487327621088138, 0.020841166195340197, 0.028571246171097207]"
