icp_time,method,sampling,epsilon,rmse_list
148.38536405563354,bf,all,0.0001,"[0.011577641738357547, 0.006526072778924433, 0.006648787527913195, 0.0076867376500787, 0.00988794010820918, 0.012316128347888233, 0.019482469852910463, 0.021937186020300876, 0.009956481133608343, 0.005965967164145744, 0.003421046043783338, 0.005673327890316185, 0.007339285782757408, 0.007693481495819987, 0.007047065624007661]"
0.8434491157531738,kd,all,0.0001,"[0.010313876683981869, 0.005715159210145638, 0.005692937625147029]"
138.7576460838318,bf,all,0.0001,"[0.011368119630581182, 0.005920314275973519, 0.006181239828769089, 0.007159390109797023, 0.008797712222639345, 0.012829236507672632, 0.01971262372310311, 0.02315202334948567, 0.012886927343460263, 0.009331398826077017, 0.006622603241067675, 0.005903092428125726, 0.010077984097160039, 0.014112775608729502, 0.015250679845448166]"
0.8068740367889404,kd,all,0.0001,"[0.010316861311822391, 0.005699900889697042, 0.005705373159901895]"
27.201231002807617,bf,all,0.0001,"[0.011554931215839902, 0.006414716463147289, 0.006393928935986559]"
0.8662757873535156,kd,all,0.0001,"[0.010342954894787633, 0.005731941864307755, 0.005728173268942226]"
33.59312701225281,bf,all,0.0001,"[0.011331083785228702, 0.006405604506041561, 0.00643178270587225]"
1.2770278453826904,kd,all,0.0001,"[0.010340234330733784, 0.005746215818340093, 0.005723109425584135]"
2588.1334269046783,bf,all,0.0001,"[0.011511463740598455, 0.007130012432082357, 0.006384392835643377, 0.007125424160709136, 0.009122466576962647, 0.012462345621407403, 0.02288512392625068, 0.024135269934402875, 0.012135637022509617, 0.007521493241751993, 0.00482334112514681, 0.007867396848785936, 0.012182679393163155, 0.013720223142372456, 0.013263385528804404]"
0.807546854019165,kd,all,0.0001,"[0.010348827494623784, 0.0057163781309303155, 0.005725272142026015]"
