icp_time,method,sampling,epsilon,rmse_list
8.081299066543579,bf,all,0.0001,"[0.012437305937416345, 0.006421372855904901, 0.00723320239415257, 0.00936477097301379, 0.01196109878362414, 0.019381206027587323, 0.019787140844528015, 0.012720798072062502, 0.011151399293800717, 0.00788877606710895, 0.00577111693776283, 0.0075767698206639505, 0.011010486621196643, 0.013161121157230877, 0.013158170264850206]"
10.357352256774902,bf,all,1e-05,"[0.012786605833512339, 0.0067215367630639985, 0.007693813957156363, 0.010131990859358432, 0.013092430211233984, 0.021278116369914935, 0.01744654972698574, 0.012947093704868778, 0.009722480912335005, 0.006105225333881752, 0.005918794502522969, 0.009006326178076524, 0.011964855898043376, 0.012669608667903773, 0.012232977850713068]"
10.070322275161743,bf,all,1e-06,"[0.01267922284410947, 0.006762740148368278, 0.007679477134129931, 0.009887899605778542, 0.013175958133289348, 0.02002765417965498, 0.01688679355779469, 0.013321845683336556, 0.010129660462934547, 0.005996674564225311, 0.005635043724014514, 0.008482656215071539, 0.011483134056552387, 0.012607548563459362, 0.013091443769649583]"
8.626832008361816,bf,all,0.0001,"[0.012499907885001844, 0.006418008582624579, 0.007550761095566887, 0.009453599466486828, 0.011714691584786736, 0.018020665692320827, 0.01934492117389459, 0.013822749138354034, 0.010135004292809459, 0.00653782719652003, 0.005902700255460003, 0.0092083093239628, 0.012726514117447626, 0.014846706660384122, 0.014945070907859728]"
8.215699195861816,bf,all,1e-05,"[0.012761557184073537, 0.006749687988972678, 0.007675488015717345, 0.009919099241360788, 0.012449401864850683, 0.02025674154807945, 0.01767694421896228, 0.013436809748476844, 0.009278247686002819, 0.005924539486294095, 0.005864619333801348, 0.008931034498451113, 0.011601191633670129, 0.012712247014114749, 0.013584923088153166]"
7.939299821853638,bf,all,1e-06,"[0.012714383076733114, 0.0066192069684262635, 0.007623220496581596, 0.010018170279802193, 0.012699329603726776, 0.020144574942961197, 0.015897626784867305, 0.012588746005033841, 0.00825825730262046, 0.00504110874314596, 0.005762527190186769, 0.009210665782428823, 0.012111685469119329, 0.012694616595555314, 0.012658387682911082]"
7.845489263534546,bf,all,0.0001,"[0.01253351938527582, 0.0064035252621139965, 0.007515108213701038, 0.009610781343747956, 0.012407967951341971, 0.01920351288200812, 0.016792748058455678, 0.01226604335975882, 0.009577818124122305, 0.0058624788639205306, 0.005482935621715339, 0.007712719074603568, 0.009628010450974002, 0.011337933920915776, 0.012157754664525912]"
8.128582954406738,bf,all,1e-05,"[0.012688947006740477, 0.006495832874455716, 0.007716949780131148, 0.010251623873970425, 0.012483579404481252, 0.01937471406872604, 0.02014820072819203, 0.012644977960801176, 0.0085029301158131, 0.005470539915753875, 0.007125693521437749, 0.010879323032459027, 0.01336577371750706, 0.015283259817243006, 0.018846704335781384]"
8.055276155471802,bf,all,1e-06,"[0.012669154811999112, 0.006463357703141123, 0.007683705007094349, 0.010159686393700263, 0.012642265007550658, 0.01996688279826717, 0.021659072982710192, 0.01363945528217717, 0.010049743803827784, 0.0072280488116655914, 0.00672459873147599, 0.010272761854602479, 0.014365430377646355, 0.016261100524406637, 0.021079155735044083]"
8.186538457870483,bf,all,0.0001,"[0.012623799403829879, 0.006568296134309252, 0.0075483415619128835, 0.009668090614539038, 0.012803267551464983, 0.019540333708189743, 0.01694933416378411, 0.012942263377999122, 0.008467390799802764, 0.005254805971277896, 0.00644231200344483, 0.00988575330947583, 0.01229631657980144, 0.012300932454384992]"
7.874130725860596,bf,all,1e-05,"[0.01269014936027148, 0.006589367764249237, 0.0077116915615222685, 0.009961093389669773, 0.013033162933917885, 0.02081107345905948, 0.014690488032706325, 0.011703032963598608, 0.006947941925089231, 0.004836652766872356, 0.006728355059413903, 0.008952256444721586, 0.011021207367620123, 0.01084347870832388, 0.010546411281679017]"
8.22226095199585,bf,all,1e-06,"[0.012331079575696038, 0.006609890824346314, 0.007326732747847842, 0.009309443390325155, 0.01223611172989768, 0.01952240684819733, 0.01662564011918016, 0.013747897392973954, 0.010307486831639063, 0.006033137916021383, 0.005658416314273462, 0.008868854971139909, 0.011798070596175854, 0.013885242756221388, 0.014223106415269967]"
8.50100827217102,bf,all,0.0001,"[0.012646821452571814, 0.006622053519984829, 0.007771936578341836, 0.0103891274755764, 0.013565327890339806, 0.022050207657552053, 0.016702800788954492, 0.012422338698006819, 0.010252218022459243, 0.00623960631348018, 0.005882132888938617, 0.009462800802727468, 0.012812698454743305, 0.01466449512688309, 0.01490126856137716]"
9.027345895767212,bf,all,1e-05,"[0.01288092272975905, 0.006644398334898462, 0.00780514202737537, 0.010074470646723186, 0.012461166911514032, 0.01898966471240872, 0.023435227636108783, 0.013977313401721484, 0.009635371063100967, 0.006104424550127692, 0.0067660176669587044, 0.010809374669395551, 0.01425751141810992, 0.016301383926814014, 0.02253487012257161]"
8.003442764282227,bf,all,1e-06,"[0.012352660843909652, 0.006523440823015975, 0.007320221997503147, 0.008934775702053014, 0.012664658584125866, 0.018286358382814612, 0.013499554060441517, 0.010837649994704233, 0.0075904600484883395, 0.004944061415251543, 0.00537393768064052, 0.007861650520816863, 0.010305174566545451, 0.010147902148971204, 0.00953949560050007]"
