icp_time,method,sampling,epsilon,rmse_list
64.39674186706543,bf,grad,0.0001,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
63.08570122718811,bf,grad,1e-05,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
62.58601093292236,bf,grad,1e-06,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
64.4802348613739,bf,grad,0.0001,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
62.127243757247925,bf,grad,1e-05,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
64.26025295257568,bf,grad,1e-06,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
65.48835301399231,bf,grad,0.0001,"[0.016666404460996907, 0.010653368559445155, 0.007239442426166932, 0.0077908132748861336, 0.010087477717534432, 0.010866211604019523, 0.01252799537911198, 0.011739880498707934, 0.012536551955056884, 0.01070962761086145, 0.009404625879029582, 0.008716476516034915, 0.008038481547966303, 0.007599998634663623, 0.007856790962160215]"
